Combined percentage,A+B,C+D,E+F
NOUN,12.79971465,12.04163153,12.41521693
PROPN,5.653055885,5.312556803,7.014783074
VERB,13.9067826,14.39837941,14.85652205
DET,8.214671044,7.89232959,8.023695769
PART,3.242198772,3.550933478,3.539710171
ADP,9.913652416,9.824889129,9.618550854
CCONJ,18583.82391,3.012559539,3.629492353
AUX,4.841527942,5.23558445,5.239202523
ADJ,4.838608807,4.637675882,4.887463548
PRON,11.05495639,11.88303038,11.54630423
SCONJ,1.454236029,1.706512455,1.356594061
ADV,5.684906859,5.949770051,6.077753377
INTJ,0.211527942,0.205116343,0.238840683
Total,270933,321636,252045
